x,f(x),lagrange,spline,err_lagrange,err_spline
0.8056,-0.563164563393198,-0.56313223068075,-0.563163984490533,3.23327124481798e-05,5.78902665471226e-07
0.8105,-0.552695623184997,-0.552687542370873,-0.552695285980628,8.08081412351225e-06,3.37204368650035e-07
0.8154,-0.54233105397637,-0.542323465601475,-0.5423309536273,7.58837489511777e-06,1.00349070719652e-07
0.8203,-0.532069188997207,-0.532070829294347,-0.532069192507913,1.64029714022629e-06,3.51070605919546e-09
0.8252,-0.521908399375466,-0.52191571144959,-0.521908306070493,7.31207412441037e-06,9.33049724149981e-08
0.8301,-0.511847093022184,-0.511857986603371,-0.51184681058639,1.08935811874433e-05,2.82435793974578e-07
0.835,-0.501883713556086,-0.501895032457827,-0.501883250119449,1.13189017415527e-05,4.63436636399805e-07
0.8399,-0.492016739266164,-0.492026831673192,-0.492016168733518,1.00924070275399e-05,5.70532645738364e-07
0.8448,-0.482244682110677,-0.48224962458088,-0.482244110492443,4.94247020327299e-06,5.71618234190829e-07
0.8497,-0.472566086751088,-0.472572347776341,-0.47256561946007,6.26102525297378e-06,4.67291018324545e-07
0.8546,-0.462979529619528,-0.4629832163726,-0.462979239700245,3.68675307244049e-06,2.89919282803197e-07
0.8595,-0.453483618018436,-0.453485146430012,-0.453483515276816,1.52841157585737e-06,1.027416206556e-07
0.8644,-0.444076989251092,-0.444076916633241,-0.444076990255772,7.26178511212261e-08,1.00467956176686e-09
0.8693,-0.434758309781809,-0.434757094119252,-0.434758257033641,1.21566255723016e-06,5.27481680001607e-08
0.8742,-0.425526274424617,-0.425524478965317,-0.425526081204121,1.79545929995806e-06,1.93220495714463e-07
0.8791,-0.416379605559312,-0.416378457816848,-0.416379267143003,1.14774246456895e-06,3.38416309364487e-07
0.884,-0.407317052373806,-0.407315080473315,-0.407316619226076,1.97190049044949e-06,4.33147729683725e-07
0.8889,-0.398337390131746,-0.398335801527188,-0.398336941829132,1.58860455795606e-06,4.48302614031171e-07
0.8938,-0.389439419464435,-0.38943828924842,-0.389439039327962,1.13021601511054e-06,3.80136472744041e-07
0.8987,-0.380621965686101,-0.380621002513474,-0.380621716098356,9.63172626988751e-07,2.49587745027036e-07
0.9036,-0.371883878131646,-0.371883515331515,-0.371883776516105,3.62800131548102e-07,1.01615540759603e-07
0.9085,-0.36322402951599,-0.363223992945467,-0.363224024957,3.65705236093916e-08,4.55898974127678e-09
0.9134,-0.354641315314213,-0.354641498864341,-0.354641287446062,1.83550127486054e-07,2.78681515086809e-08
0.9183,-0.3461346531617,-0.346134879997016,-0.346134521456828,2.26835315864093e-07,1.31704872785576e-07
0.9232,-0.33770298227354,-0.337703369717796,-0.337702733807245,3.87444256011449e-07,2.48466295205141e-07
0.9281,-0.329345262882462,-0.329345630949841,-0.32934493140323,3.68067378686554e-07,3.31479232840159e-07
0.933,-0.321060475694623,-0.321060854432597,-0.321060121150699,3.78737973483201e-07,3.54543924108164e-07
0.9379,-0.312847621362575,-0.312847870060151,-0.312847309955569,2.48697575921941e-07,3.11407006181597e-07
0.9428,-0.304705719974802,-0.304705874665557,-0.304705504723757,1.54690755427289e-07,2.15251044877185e-07
0.9477,-0.296633810561194,-0.296633876058243,-0.296633712361178,6.54970492286466e-08,9.82000156191098e-08
0.9526,-0.288630950613905,-0.288630968306101,-0.28863093977375,1.76921958749965e-08,1.08401549958614e-08
0.9575,-0.280696215623017,-0.280696184587894,-0.280696202538451,3.10351233601125e-08,1.30845665968771e-08
0.9624,-0.272828698626487,-0.272828640607966,-0.272828609586921,5.80185212095685e-08,8.90395662200838e-08
0.9673,-0.265027509773863,-0.265027419694152,-0.265027326722508,9.00797101910378e-08,1.83051354962771e-07
0.9722,-0.257291775903275,-0.257291700251502,-0.257291520556396,7.56517727906747e-08,2.55346878696994e-07
0.9771,-0.249620640131238,-0.249620576611573,-0.249620357699772,6.35196648890446e-08,2.82431465908894e-07
0.982,-0.242013261454802,-0.242013215619611,-0.242013004763821,4.58351908927401e-08,2.56690980804386e-07
0.9869,-0.234468814365626,-0.234468776543837,-0.23446862835973,3.78217883678644e-08,1.86005895963515e-07
0.9918,-0.22698648847555,-0.226986468807489,-0.226986395098683,1.96680610964339e-08,9.33768665445367e-08
0.9967,-0.219565488153277,-0.219565482605538,-0.219565471591868,5.54773860184099e-09,1.65614089386867e-08
1.0016,-0.212205032171762,-0.212205037892958,-0.212205027332122,5.72119682185068e-09,4.83963927266906e-09
1.0065,-0.204904353365958,-0.20490436709383,-0.204904293996205,1.372787225562e-08,5.93697526141135e-08
1.0114,-0.19766269830055,-0.197662714044364,-0.197662563251899,1.57438140302446e-08,1.35048650734548e-07
1.0163,-0.19047932694734,-0.190479343394271,-0.190479129209885,1.64469304009263e-08,1.97737455798208e-07
1.0212,-0.183353512371961,-0.183353525354235,-0.183353285980843,1.29822738947905e-08,2.2639111801892e-07
1.0261,-0.176284540429589,-0.17628455250901,-0.176284327675455,1.20794209634845e-08,2.12754134309989e-07
1.031,-0.16927170946937,-0.169271718011415,-0.1692715484044,8.54204468270225e-09,1.61064970305436e-07
1.0359,-0.162314330047257,-0.162314335397996,-0.16231424227836,5.35073907403927e-09,8.77688962619416e-08
1.0408,-0.155411724646972,-0.155411726545115,-0.155411703408016,1.89814308715341e-09,2.1238955622005e-08
1.0457,-0.148563227408844,-0.148563226635705,-0.148563226575179,7.73138192355916e-10,8.33664831612069e-10
1.0506,-0.141768183866234,-0.141768181349672,-0.141768145111567,2.51656234739883e-09,3.87546669755601e-08
1.0555,-0.135025950689329,-0.135025947496908,-0.135025851133868,3.19242068891334e-09,9.95554607086113e-08
1.0604,-0.12833589543603,-0.128335891984167,-0.128335741704139,3.45186279560039e-09,1.53731891494591e-07
1.0653,-0.121697396309737,-0.121697392788745,-0.121697213884437,3.5209917204071e-09,1.82425299893874e-07
1.0702,-0.115109841923776,-0.11510983885916,-0.11510966473682,3.06461589438811e-09,1.77186955468978e-07
1.0751,-0.108572631072278,-0.10857262883409,-0.108572491323345,2.23818792666197e-09,1.39748932426187e-07
1.08,-0.10208517250729,-0.102085171206979,-0.102085090706071,1.30031013734211e-09,8.18012185210826e-08
1.0849,-0.0956468847219148,-0.0956468841874139,-0.0956468599470538,5.3450092962759e-10,2.47748610515686e-08
1.0898,-0.0892571957393063,-0.0892571958265038,-0.0892571961714026,8.71974853433599e-11,4.32096247671154e-10
1.0947,-0.0829155429073075,-0.0829155434214528,-0.0829155183974305,5.14145268026844e-10,2.45098769890983e-08
1.0996,-0.0766213726985804,-0.0766213735061898,-0.0766212995448544,8.07609465414139e-10,7.31537260212356e-08
1.1045,-0.0703741405160335,-0.0703741414691743,-0.070374020680371,9.53140774639927e-10,1.19835662490408e-07
1.1094,-0.0641733105033956,-0.0641733114203223,-0.0641731628706776,9.16926673477647e-10,1.47632718008883e-07
1.1143,-0.0580183553607678,-0.0580183561039386,-0.0580182071824718,7.43170788797265e-10,1.48178296063839e-07
1.1192,-0.0519087561650015,-0.0519087567247791,-0.0519086346824503,5.59777620090518e-10,1.21482551150576e-07
